track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
5JqZ3oqF00jkT81foAFvqg,Prisoner (feat. Dua Lipa),Prisoner (feat. Dua Lipa),Miley Cyrus,2020-11-20,169333,87,0.781,0.0103,0.67,0.0,0.0761,-3.912,0.0452,127.99,4
31qCy5ZaophVA81wtlwLc4,Anyone,Anyone,Justin Bieber,2021-01-01,190779,92,0.686,0.181,0.538,3.13e-06,0.113,-8.026,0.0345,115.884,4
5SFXOMJJ334Wn2PwBHeRZN,Girls Like Us,Girls Like Us,Zoe Wees,2021-01-12,189000,84,0.444,0.288,0.648,0.0,0.059,-4.955,0.0476,125.706,5
3iw6V4LH7yPj1ESORX9RIN,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),Nathan Evans,2021-01-21,116750,90,0.722,0.0441,0.893,0.000937,0.0673,-3.255,0.0475,119.932,4
2h9TDNEXRhcDIV3fsoEVq9,What Other People Say,What Other People Say,Sam Fischer,2021-02-04,194890,83,0.652,0.158,0.472,0.0,0.121,-8.084,0.0399,126.904,4
45bE4HXI0AwGZXfZtMp8JR,you broke me first,you broke me first,Tate McRae,2020-04-17,169265,92,0.667,0.785,0.373,0.0,0.0906,-9.389,0.05,124.148,4
4pBhTGnL5N5KqsyqU58jee,I'm not Pretty,I'm not Pretty,JESSIA,2021-01-08,118400,80,0.783,0.0802,0.526,0.0,0.066,-6.478,0.261,75.002,4
2Z8yfpFX0ZMavHkcIeHiO1,Monster (Shawn Mendes & Justin Bieber),Monster,Shawn Mendes,2020-11-20,178994,87,0.652,0.0676,0.383,0.0,0.0828,-7.076,0.0516,145.765,4
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,160000,91,0.709,0.65,0.548,1.59e-06,0.133,-8.493,0.353,83.995,4
3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),Mood (feat. iann dior),24kGoldn,2020-07-24,140525,95,0.7,0.221,0.722,0.0,0.272,-3.558,0.0369,90.989,4
5YYW3yRktprLRr47WK219Y,Ella No Es Tuya - Remix,Ella No Es Tuya (Remix),Rochy RD,2021-02-03,218106,90,0.585,0.39,0.611,0.0,0.649,-4.132,0.288,97.041,4
7igeByaBM0MgGsgXtNxDJ7,positions,positions,Ariana Grande,2020-10-23,172324,47,0.736,0.468,0.802,0.0,0.094,-4.759,0.0864,144.005,4
0ri0Han4IRJhzvERHOZTMr,At My Worst,The Prelude,Pink Sweat$,2020-07-17,170344,86,0.813,0.777,0.415,0.0,0.131,-5.926,0.0349,91.921,4
1nYzjrdVQ8RpF93M0jPFW7,Remember That Night?,Remember That Night?,Sara Kays,2020-11-06,227186,85,0.679,0.585,0.61,9.51e-05,0.156,-10.936,0.0305,123.978,4
0lx2cLdOt3piJbcaXIV74f,willow,evermore,Taylor Swift,2020-12-11,214706,86,0.392,0.833,0.574,0.00179,0.145,-9.195,0.17,81.112,4
45S5WTQEGOB1VHr1Q4FuPl,Golden,Fine Line,Harry Styles,2019-12-13,208906,88,0.448,0.21,0.838,0.000131,0.131,-5.257,0.0557,139.863,4
0v1x6rN6JHRapa03JElljE,Dynamite,Dynamite,BTS,2020-08-21,199053,28,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.0993,114.044,4
47EiUVwUp4C9fGccaPuUCS,DÁKITI,DÁKITI,Bad Bunny,2020-10-30,205090,93,0.731,0.401,0.573,5.22e-05,0.113,-10.059,0.0544,109.928,4
7FGdjbZ32vMybPuP0IuE7d,Back In Blood (feat. Lil Durk),Shiesty Season,Pooh Shiesty,2021-02-05,184489,77,0.759,0.151,0.538,0.0,0.126,-8.256,0.384,146.933,4
65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-03-05,192956,88,0.578,0.0618,0.449,2.17e-06,0.119,-6.349,0.286,136.006,4
6toQdWWc4noiOk3Eo5mVDS,Beat Box 3 (feat. DaBaby),Beat Box 3 (feat. DaBaby),SpotemGottem,2021-02-26,200424,79,0.853,0.0765,0.426,0.0,0.104,-6.812,0.374,160.051,4
5Kskr9LcNYa0tpt5f0ZEJx,Calling My Phone,Calling My Phone,Lil Tjay,2021-02-12,205458,94,0.907,0.451,0.393,1.35e-06,0.135,-7.636,0.0539,104.949,4
3aQem4jVGdhtg116TmJnHz,What’s Next,Scary Hours 2,Drake,2021-03-05,178153,89,0.781,0.0136,0.594,0.0,0.162,-6.959,0.0485,129.895,4
4Iedi94TIaB2GGb1nMB68v,On Me,On Me,Lil Baby,2020-12-04,135959,84,0.856,0.00327,0.564,0.0,0.134,-6.295,0.392,77.972,4
7JuHVG3qQKQKxC4doneXVW,Back In Blood (feat. Lil Durk),Back In Blood (feat. Lil Durk),Pooh Shiesty,2020-11-06,184489,83,0.759,0.151,0.538,0.0,0.126,-8.256,0.384,146.933,4
4FRW5Nza1Ym91BGV4nFWXI,Lemon Pepper Freestyle (feat. Rick Ross),Scary Hours 2,Drake,2021-03-05,383036,85,0.77,0.103,0.637,0.0,0.171,-5.53,0.345,94.966,4
5Zkvb4Wz9HJtHjWnxXQDlX,Heartless - Live From LA,Heartless (Live From LA),Roddy Ricch,2021-03-15,138042,54,0.545,0.0857,0.488,0.0,0.162,-8.847,0.0597,170.461,4
45kgqMRkC29qjBlzeaJcad,Street Runner,Street Runner,Rod Wave,2021-03-10,252021,72,0.613,0.211,0.61,0.000361,0.152,-8.633,0.246,160.004,4
1xqRKo0SDFDO5Jy8yEVD0X,ROLLIN N CONTROLLIN FREESTYLE,ROLLIN N CONTROLLIN FREESTYLE,DUSTY LOCANE,2020-08-07,191208,83,0.69,0.0975,0.514,0.497,0.346,-11.81,0.328,72.791,4
7eX3um6NpOQKWJMGCi97XD,Real As It Gets (feat. EST Gee),Real As It Gets (feat. EST Gee),Lil Baby,2021-03-04,192804,78,0.779,0.00471,0.705,0.0,0.0971,-5.891,0.163,140.005,4
59fFsGRwFiuhxKDPc1k6xW,Opp Stoppa (feat. 21 Savage),Opp Stoppa (feat. 21 Savage),YBN Nahmir,2021-01-22,135430,83,0.829,0.00734,0.343,0.0,0.179,-4.937,0.102,78.035,4
6rLi6PyWXu1rPlShuIZpj6,Way Out (feat. Big Sean),Way Out (feat. Big Sean),Jack Harlow,2020-12-09,168906,80,0.945,0.114,0.582,0.0,0.103,-8.357,0.0719,108.025,4
7o4gBbTM6UBLkOYPw9xMCz,Moonwalking in Calabasas (feat. Blueface) - Remix,Moonwalking in Calabasas (feat. Blueface) [Remix],DDG,2020-12-02,170232,82,0.928,0.0614,0.341,0.0,0.162,-10.196,0.103,129.966,4
2r6OAV3WsYtXuXjvJ1lIDi,Hello (feat. A Boogie Wit da Hoodie),Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,2020-07-20,190534,87,0.905,0.0187,0.647,0.0,0.282,-5.065,0.107,130.97,4
43BlKpJcSrC9AsJ3F1DKg9,Still Trappin' (with King Von),The Voice,Lil Durk,2020-12-24,172185,80,0.877,0.0439,0.677,0.0,0.0986,-4.969,0.356,144.941,4
2bo0HCDcZj8BYjoht9zYgk,Time Today,Time Today,Moneybagg Yo,2021-02-03,136939,78,0.909,0.044,0.617,0.0,0.233,-7.736,0.401,136.924,4
5SWnsxjhdcEDc7LJjq9UHk,Runnin,SAVAGE MODE II,21 Savage,2020-10-02,195906,83,0.819,0.00748,0.626,0.101,0.167,-4.574,0.202,143.01,4
26UxwWl9xCb83OynXELJcL,Masterpiece,Masterpiece,DaBaby,2021-01-15,181714,81,0.781,0.0299,0.726,0.0,0.093,-4.213,0.0836,139.988,4
6aKDdFwPJLgHT4aNktrQmb,Take It To Trial (feat. Yak Gotti),Take It To Trial (feat. Yak Gotti),Young Stoner Life,2020-12-18,170266,75,0.891,0.00225,0.552,2.18e-06,0.162,-6.877,0.223,135.976,4
6bCWyr3C3ngZdwizTYWQTG,Onna Come Up (feat. G Herbo) [Remix],Onna Come Up (feat. G Herbo) [Remix],Lil Eazzyy,2021-01-15,175729,77,0.679,0.339,0.794,1.65e-05,0.113,-3.985,0.296,150.067,4
17vGPZ5EsdvtgAOCD4FLWI,AP - Music from the film Boogie,AP (Music from the film Boogie),Pop Smoke,2021-02-26,171891,82,0.751,0.152,0.744,0.000568,0.252,-6.859,0.177,148.014,4
4DuUwzP4ALMqpquHU0ltAB,Tyler Herro,Tyler Herro,Jack Harlow,2020-10-22,156497,82,0.794,0.11,0.756,0.0,0.247,-7.16,0.136,123.066,4
33HO2V42Tc6xE0SbCg6vBj,Quicksand,Quicksand,Morray,2020-10-30,223944,77,0.901,0.0761,0.673,0.0,0.143,-6.545,0.314,119.97,4
6eVxH9Kyanzrw636zJRPcw,Errbody,Errbody,Lil Baby,2020-12-03,210698,79,0.887,0.000407,0.606,0.0,0.151,-6.572,0.324,139.995,4
15bnyEOUVRkwWlxR4F7xzF,Finesse Out The Gang Way (feat. Lil Baby),The Voice (Deluxe),Lil Durk,2021-01-29,186283,78,0.738,0.213,0.885,0.0,0.098,-4.159,0.126,100.508,3
6jzW19SQaLj1kLArvipGQZ,Grey Area,So Help Me God!,2 Chainz,2020-11-13,171837,74,0.897,0.0679,0.767,0.000364,0.129,-4.544,0.0959,134.913,4
7AqcPbvxOIIN6NMXlG30Sw,Last Man Standing,Judas and the Black Messiah: The Inspired Album,Judas and the Black Messiah,2021-02-12,128707,73,0.615,0.218,0.792,0.0,0.0718,-7.218,0.417,122.546,5
5vGLcdRuSbUhD8ScwsGSdA,Whoopty,Whoopty,CJ,2020-08-20,123262,91,0.719,0.2,0.648,0.0,0.127,-7.6,0.125,140.201,4
1A8990rtwHQ417l3yADe5t,GNF (OKOKOK),GNF (OKOKOK),Polo G,2021-02-05,116255,78,0.753,0.659,0.659,0.0,0.098,-9.671,0.416,146.022,4
2xlOJSbScxrHHOmlNmILpD,Neighbors (feat. BIG30),Shiesty Season,Pooh Shiesty,2021-02-05,171780,73,0.728,0.0391,0.623,0.0,0.214,-8.066,0.305,145.973,4
3PXi72ZtSqx1PZc40KS0Qj,Mean,Beautiful Havoc,$NOT,2020-10-30,125853,77,0.844,0.169,0.72,0.0,0.0797,-7.418,0.3,99.917,4
15C4TnrrVdym7UykxQIOTZ,Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix,Throat Baby (Go Baby) (with DaBaby & City Girls) [Remix],BRS Kash,2021-01-21,211609,78,0.878,0.00984,0.475,0.0,0.167,-8.42,0.324,131.988,4
1XXimziG1uhM0eDNCZCrUl,Up,Up,Cardi B,2021-02-05,156944,90,0.868,0.0012,0.795,0.0193,0.0461,-6.044,0.269,166.0,4
2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),Best Friend (feat. Doja Cat),Saweetie,2021-01-07,155883,89,0.84,0.00302,0.766,3.61e-06,0.0684,-4.12,0.136,94.018,4
1qPJqsojWPApzEuSVoFawJ,Rose Gold (feat. King Von),Rose Gold (feat. King Von),PnB Rock,2021-01-19,192000,73,0.574,0.184,0.623,0.0,0.103,-5.096,0.191,79.993,4
7E2C5rBLpCKwQlhJPVFBRS,You’re Mines Still (feat. Drake),You’re Mines Still (feat. Drake),Yung Bleu,2020-10-15,226220,81,0.575,0.317,0.609,0.0,0.105,-4.88,0.121,83.004,4
43CIWpJaJHRcI4mUSjqgc2,Bad Boy (with Young Thug),Bad Boy (with Young Thug),Juice WRLD,2021-01-15,157355,84,0.697,0.00215,0.674,0.0,0.138,-6.326,0.0533,81.535,4
5CFJRZRq6sdKKtRwNPWbYv,Show Out (with Skepta & Pop Smoke),Man On The Moon III: The Chosen,Kid Cudi,2020-12-11,174960,81,0.619,0.43,0.589,0.000392,0.378,-6.531,0.124,143.896,4
6MHwbVY6LkFvmEnUla0Hzj,Toxic Punk,Toxic Punk,YoungBoy Never Broke Again,2021-02-16,123870,72,0.633,0.0524,0.534,0.0,0.189,-8.605,0.229,155.111,4
5hChuUMe5iHfjkXgzj1D4b,Track Star,Track Star,Mooski,2021-02-09,199706,74,0.641,0.381,0.598,0.0,0.0921,-5.7,0.324,131.459,5
1rICTKr67UUnoDVvOj4A8c,Thugged Out (feat. Kodak Black),Thugged Out (feat. Kodak Black),YNW Melly,2021-03-05,185991,71,0.72,0.171,0.597,0.0,0.17,-6.501,0.217,150.138,4
3Kwdm0iLyEiRB8InsZoo6n,Talk To Me,The Truth Hurts,Drakeo the Ruler,2021-02-24,227705,75,0.773,0.24,0.281,0.0,0.112,-9.781,0.11,102.019,4
1dIWPXMX4kRHj6Dt2DStUQ,Chosen (feat. Ty Dolla $ign),No Love Lost (Deluxe),Blxst,2020-12-04,161684,76,0.571,0.336,0.767,0.0,0.0809,-5.16,0.287,93.421,4
4aarlAfLKVCTxUDNgbwhjH,Cry Baby (feat. DaBaby),Good News,Megan Thee Stallion,2020-11-20,137983,83,0.957,0.00402,0.437,0.0,0.219,-7.882,0.359,130.058,4
2Y3USTCETS4xbjJOzT1Icm,Adderall (Corvette Corvette) - Remix,Adderall (Corvette Corvette) [Remix],Popp Hunna,2020-12-18,176382,77,0.921,0.217,0.718,0.0,0.189,-3.545,0.299,141.06,4
5A4WcRuy0FFEAC5pAK43oa,No More Parties - Remix,No More Parties (Remix),Coi Leray,2021-02-19,192880,72,0.827,0.253,0.394,0.0,0.12,-10.073,0.559,157.0,4
78xj07VVFK5uHTaGPIu13S,Buss It,Buss It,Erica Banks,2020-05-15,187000,76,0.956,0.0593,0.502,0.0,0.238,-5.995,0.213,110.003,4
1xMvdOFQaql3EBkHmuh2TK,Batman,Batman,LPB Poody,2021-02-12,156431,77,0.893,0.0754,0.565,0.0,0.0375,-4.74,0.268,81.009,4
4W32h2bSybAaTs8YQafHBY,Leave Some Day,Leave Some Day (Muney Mix),Kevo Muney,2021-03-05,175386,60,0.417,0.0146,0.729,0.0,0.122,-3.445,0.14,110.499,5
14JFKtBSqefxfMiKhq6JT8,Almost Maybes,Almost Maybes,Jordan Davis,2020-05-08,179152,76,0.582,0.146,0.868,0.0,0.103,-3.927,0.0522,90.105,4
7eQEnXy5vNjPv6aXVl6N26,It's About Time (feat. Florida Georgia Line),It's About Time (feat. Florida Georgia Line),Russell Dickerson,2020-11-20,175772,66,0.765,0.249,0.92,0.0,0.618,-4.362,0.0984,121.011,4
24LyKCgvEia1eAPUbuISlk,Dirt Road,Dirt Road,Kidd G,2020-10-02,150889,75,0.796,0.519,0.516,0.0,0.126,-7.891,0.0744,140.012,4
5PAvFGse5jjDH9ke8Mae7D,Just the Way,Just the Way,Parmalee,2019-12-13,193880,76,0.426,0.107,0.829,0.0,0.317,-2.84,0.0569,180.241,4
16ayXVtAftZYobyrNsZUQv,Another,Another,Adam Doleac,2020-09-25,188014,72,0.595,0.36,0.58,0.0,0.0992,-6.482,0.0465,74.99,4
4QpWhd7l2NrmGmfw4qGlpa,Next Girl,Next Girl,Carly Pearce,2020-09-04,164677,72,0.583,0.143,0.867,0.0,0.0863,-4.17,0.0637,160.096,4
7BQE1P0NUalHSvFtrxasx9,Memory I Don't Mess With,Memory I Don't Mess With,Lee Brice,2020-10-16,180616,72,0.617,0.171,0.704,0.0,0.0924,-7.61,0.0258,91.541,4
1kBx9VGumfuvlfqdlAGorE,Hell Of A View,Hell Of A View,Eric Church,2020-10-02,175280,76,0.689,0.119,0.582,0.00464,0.101,-6.778,0.0236,99.021,4
2DINVEELpI3ibUW2EzeDs7,Undivided,Undivided,Tim McGraw,2021-01-13,175920,72,0.583,0.131,0.812,0.0,0.201,-4.684,0.0299,89.992,4
59SoAaZ8tWxL5OBkWOG6aN,Under My Skin,Under My Skin,Nate Smith,2020-10-16,178771,6,0.604,0.13,0.536,0.0,0.162,-6.186,0.0345,151.737,4
3hLuHKzG1cmlRpq53ZVWd8,The Good Ones,Goldmine,Gabby Barrett,2020-06-19,215140,77,0.519,0.18,0.552,0.0,0.149,-5.023,0.0259,89.957,4
3M4rxsJSUvKPjGy5yMeQ5j,Growing Up,Country Again (Side A),Thomas Rhett,2021-03-05,181266,68,0.629,0.0119,0.788,1.15e-06,0.14,-6.467,0.0242,104.971,4
7D1iGhQakEW8oFCfWBlRek,Bucket List,Bucket List,Mitchell Tenpenny,2021-01-01,205450,71,0.565,0.0473,0.743,0.0,0.0781,-4.833,0.0329,85.012,4
62SvLj5dBDI9Ee3eBA0BxL,Somebody Like That,"Love, Heartbreak, & Everything in Between",Tenille Arts,2020-01-10,198208,61,0.574,0.0135,0.792,0.0,0.11,-5.868,0.0489,104.989,4
5xMxyWRoe37nUlHDk72cSW,Long Time Comin',Life Rolls On,Florida Georgia Line,2021-02-12,194773,61,0.402,0.389,0.602,0.0,0.0915,-6.1,0.0382,119.896,3
4bQZKz3ski6U9wSEuVbRxV,Talk About,Talk About,Seaforth,2020-09-25,166005,69,0.645,0.0089,0.733,0.0,0.0228,-5.069,0.139,96.971,4
53bZYxVbCYm6w1Gx8U64bz,Settling Down,Wildcard,Miranda Lambert,2019-11-01,197453,72,0.643,0.0215,0.756,0.000268,0.101,-5.8,0.0305,90.001,4
7cwKO3SvjCpTyLiIWfnxpx,Things A Man Oughta Know,Redneck Hollywood,Lainey Wilson,2019-09-13,206320,62,0.661,0.518,0.67,2.2e-06,0.13,-5.58,0.0307,139.852,4
7Cw3yXDA8Uui37SI5FFaA7,What’s Your Country Song,What's Your Country Song,Thomas Rhett,2020-11-11,170372,71,0.355,0.000532,0.706,0.0,0.264,-6.164,0.0309,174.005,4
0h6qJZXkVGNUIoM4q8CrFH,Why Should We,Why Should We,CHASE WRIGHT,2021-01-15,172826,66,0.578,0.472,0.763,0.0,0.135,-7.498,0.0443,92.01,4
6Hr1oAF1r1YsgBb8QEi545,Compassion,Compassion,Brittney Spencer,2020-12-04,236375,66,0.567,0.67,0.395,0.0,0.309,-11.061,0.0322,87.931,4
3TNSVsiFngfe68UJpMq1oS,Starting Over,Starting Over,Chris Stapleton,2020-08-27,240413,76,0.638,0.452,0.538,0.000415,0.0695,-8.445,0.0315,89.124,4
0x5aqRejnsR6kiMq0ficsp,How Many Times,How Many Times,Kat & Alex,2020-10-16,205798,52,0.514,0.104,0.728,0.0,0.138,-7.216,0.0496,144.022,4
7r4QGA98fNi3iPxc7umIjt,Just About Over You - Radio Edit,Just About Over You (Radio Edit),Priscilla Block,2020-10-09,188012,3,0.546,0.189,0.788,0.0,0.159,-3.302,0.0324,150.084,4
72xDxwWk5h3XfGXcCWJASo,Life Rolls On,6-Pack,Florida Georgia Line,2021-01-15,201066,62,0.572,0.163,0.691,0.0,0.14,-5.038,0.0314,130.974,4
7mDZ2NdYOeKFcz2zGnKBwU,Gone Too Soon,Gone Too Soon,Andrew Jannakos,2020-09-15,169254,28,0.529,0.0175,0.723,0.0,0.364,-6.022,0.035,119.942,4
5NUXE8W12lWcUXgJRCjeEw,One Too Many,One Too Many,Keith Urban,2020-09-16,203893,77,0.697,0.247,0.535,0.0,0.569,-6.504,0.068,82.959,4
4iK2zz811mSOLZqLGgII16,She Got That,DIRT BOY Vol. 1 - EP,Drew Green,2020-09-18,157866,70,0.657,0.0481,0.639,0.0,0.196,-5.483,0.0308,122.047,4
4q6L3Ca4YuLHWg8YZqfMvE,Long Haul,Long Haul,Ian Munsick,2020-09-18,231265,70,0.506,0.423,0.627,7.4e-05,0.0755,-7.851,0.0273,141.89,4
77Bt2DXJE1R1qsnm4D10Ox,Breakups,Breakups,Seaforth,2021-01-14,223129,71,0.531,0.436,0.552,0.0,0.0786,-5.945,0.0309,74.931,3
27SEGAFBjr1CsjLcUu0Z4f,Right Now,Right Now,Willie Jones,2021-01-22,235743,65,0.657,0.12,0.601,0.0,0.0784,-5.933,0.0899,152.005,4
4ijajhHtBsOn91S4dgkhu7,Minimum Wage,Minimum Wage,Blake Shelton,2021-01-15,228186,72,0.546,0.00187,0.934,0.0,0.062,-3.796,0.0643,89.972,4
1OTX8FOeKJt1v9mIxuF8sc,Long Live,Long Live,Florida Georgia Line,2020-09-10,152372,66,0.612,0.185,0.842,0.0,0.151,-3.547,0.0372,129.973,4
355tAo2nEqL74FFvTlwXAR,Whatever You Do,Finally,Halle Kearns,2020-12-11,175652,65,0.604,0.258,0.724,0.0,0.125,-5.098,0.0307,83.988,4
4FEGLKYIfTEatQtfGLGxlu,Between You & Me,Between You & Me,Roman Alexander,2020-11-13,169017,69,0.627,0.00583,0.618,0.0,0.0901,-8.225,0.0344,99.951,4
3oYzZC4WuE9Ymqcp91cGzk,Town Home,Town Home,Austin Burke,2020-12-31,170413,68,0.63,0.15,0.683,0.0,0.133,-5.7,0.0307,155.927,4
7KRcMPOGQA0WOw0T8qeXD7,Want It Again,Country Again (Side A),Thomas Rhett,2021-03-05,172586,64,0.489,0.662,0.515,3.84e-05,0.115,-9.14,0.0348,91.25,4
1ZIKpMTRPqhwAoVXWY3tXI,Chasing After You (with Maren Morris),Chasing After You (with Maren Morris),Ryan Hurd,2021-02-12,207973,74,0.596,0.723,0.679,0.0,0.116,-6.395,0.0394,131.912,4
1LtiNpTzzSX8qcvlPFLmeR,Nothing's Better,State I'm In,Filmore,2020-09-25,193144,69,0.8,0.0724,0.515,0.0,0.355,-5.431,0.0351,110.018,4
51FVpJr3WL7vvdfCa7j2jr,Momma’s House,Tullahoma,Dustin Lynch,2020-01-17,220160,73,0.633,0.278,0.858,0.0,0.315,-3.509,0.0356,119.998,4
